Date,GBP,Daily_Returns_Percentage,Weekly_Returns_Percentage,DR_Classes,WR_Classes,News
2016-01-14,0.693662,0.03862061014800133,-1.4198385556860131,PS,NS,"white house revamp u.s. coal program soon friday sources/,,,/anglican communion suspends episcopal church years gay rights debates/,,,/goldman sachs pay <NUM> billion mortgage settlement/,,,/islamic state claims role jakarta attacks officials probe reach asia/,,,/long march hollywood china richest man step beijing/,,,/revenant becomes oscar front-runner actors color ignored/,,,/u.s. secures first guilty plea u.n. bribery case/,,,/mexican actress star attraction el chapo looks like sean penn extra/,,,/advocates perplexed u.s. response central american migrants/,,,/jpmorgan strikes confident tone better-than-expected results"
2016-01-15,0.701436,-1.1207187362144566,-1.8417396127192376,NS,NS,"d.c. ended segregation year brown v. board education/,,,/five myths martin luther king/,,,/next couple <NUM> million powerball work monday/,,,/sacramento man indicted lying assisting militant group/,,,/time remove natural born citizen requirement constitution/,,,/toxic flint water really/,,,/walmart ending express concept closing <NUM> stores/,,,/ge sell appliances business china haier 5.4 billion/,,,/major drugmakers push back u.s. price debate/,,,/trump rivals help hijack gop"
2016-01-17,0.701441,-0.0007128234079800677,-1.8204383800261326,NS,NS,"islamic state kills dozens syria deir al-zor city/,,,/potential major winter storm late next week also major question marks/,,,/nuclear success intensify iranian infighting moderate foreign policy/,,,/plane freed americans leaves iran u.s. imposes new sanctions/,,,/<NUM> americans reported missing baghdad neighborhood officials say/,,,/nfl playoffs <NUM> broncos topple steelers panthers cardinals patriots advance/,,,/sanctions relief could strengthen hand iran reformers perils remain/,,,/<NUM> big issues sunday democratic debate/,,,/man dies taking part botched french clinical trial/,,,/food healthy even kale"
2016-01-18,0.701969,-0.07527361531475663,-2.1311730617862708,NS,NS,"exclusive yeti coolers hires banks ipo sources/,,,/freed americans reunited families/,,,/martin luther king day far really come/,,,/clinton vs. sanders democrats choose evolution — revolution/,,,/confidence growing major winter storm weekend lock/,,,/djokovic admits indirect fixing approach questions betting sponsors/,,,/eu wants stricter controls u.s. snooping powers data pact talks/,,,/four die violence turkey mainly kurdish southeast/,,,/obama administration ever let law stand way/,,,/worried sub- <NUM> crude sellers already"
2016-01-19,0.706178,-0.599599127596818,-1.9461611642608574,NS,NS,"earth going stock market/,,,/palin endorsement latest prize trump cruz battle conservatives/,,,/exclusive report criticizes swedish cbank inflation measure urges sweeping changes/,,,/milwaukee approves <NUM> million settlement police searches/,,,/spike lee pinkett smith boycott oscars academy promises diversity/,,,/supreme court review obama power deportation policy/,,,/trump supporters america authoritarians/,,,/former nfl receiver antwaan randle el regrets ever playing football/,,,/justices divided n.j. police officerâ€™s first amendment case/,,,/world divided elites descend swiss alps amid rising inequality"
2016-01-20,0.704754,0.20164887606242132,-1.5598115083653852,PS,NS,"parents fight birthday-industrial complex/,,,/u.s. congressional committee subpoenas ex-drug ceo shkreli/,,,/let down. michigan governor apologizes flint water crisis says release emails/,,,/monumental fall republican party/,,,/western military chiefs intensify islamic state fight/,,,/strange life q-tips bizarre thing people buy/,,,/suicide bomb afghan capital targets journalists kills seven people/,,,/official <NUM> smashed <NUM> global temperature record even close/,,,/baltimore judge rules prosecutors freddie gray trial witness/,,,/come robots davos bosses brace big technology shocks"
2016-01-21,0.7032609999999999,0.21184697071602443,-1.3838151722308538,PS,NS,"expect expecting two feet snow/,,,/five myths reconstruction/,,,/metro metrobus metroaccess shut weekend/,,,/northrop ceo says china r spending could leapfrog u.s/,,,/obama muslim conspiracy theory still reverberating middle east/,,,/smith also boycott academy awards oscarssowhite backlash grows/,,,/ab inbev shortlists asahi thaibev peroni grolsch purchase sources/,,,/former oklahoma policeman sentenced <NUM> years raping four women/,,,/political fallout flint michigan water crisis spreads/,,,/stop sen. cruz stop"
2016-01-22,0.700919,0.33302003097000465,0.07370594038515321,PS,PS,"epa official resigns flint water crisis/,,,/gop cave trump/,,,/gop insiders cave trump/,,,/strong u.s. housing data offers ray hope slowing economy/,,,/successful lawyer mother abortion/,,,/yahoo decide next strategic steps quarterly earnings sources/,,,/blizzard warning updates moderate snow pasting washington region/,,,/d.c. officials blizzard deadly/,,,/double-digit snowfall blankets d.c. region come/,,,/one man journey chicago hood connecticut college"
2016-01-24,0.7007369999999999,0.02596591046898311,0.10036482041969919,PS,PS,"traffic-free manhattan transformed winter playground/,,,/trial start lawsuit north carolina voter-id law/,,,/immigration reverse/,,,/merkel party sliding polls weighs german border centres/,,,/snowzilla done us shoveling begins/,,,/sanders clinton cool bloomberg possible entry <NUM> race/,,,/much snow fell snowzilla d.c. area detail/,,,/sanctions lifted iran rouhani heads europe drum business/,,,/darling davos lagarde second imf term sewn/,,,/lower-than-expected d.c. snowfall total raises questions measurement"
2016-01-25,0.7019569999999999,-0.1741024093204686,0.001709477199142384,NS,PS,"grand jury indicts leader behind planned parenthood videos/,,,/manhunt underway prisoners escaped california jail/,,,/u.s. justices expand ban mandatory life sentences juvenile killers/,,,/dollar falls oil equities slide pushes investors safe havens/,,,/top twitter executives leave company ceo dorsey tweets/,,,/eternal weight-loss question exercise diet/,,,/remarkably moving thing happened bernie sanders rally today iowa/,,,/glaxo evaluating possibility using vaccine technology zika/,,,/cleanup d.c. historic blizzard could stretch days/,,,/plaintiffs lawyers wary taking flint water scandal"
2016-01-26,0.696926,0.7167105677413161,1.310151264978515,PS,PS,"anti-abortion activists indicted texas planned parenthood video/,,,/surge americans tests limits cuba tourism industry/,,,/zika mosquitoes outwit rio carnival olympics loom/,,,/charges anti-planned parenthood filmmaker explained/,,,/democrats would insane nominate bernie sanders/,,,/ford ceo joins ibm board auto industry transforms/,,,/sanders clinton battle youth vote college plans/,,,/zika virus set spread across americas spurring vaccine hunt/,,,/trump definitely participate fox debate campaign says/,,,/trump polls twitter biased fox debate moderator kelly"
2016-01-27,0.7020390000000001,-0.7336503445129097,0.38524080743067657,NS,PS,"affluenza teen deportation u.s. imminent lawyer/,,,/bernie sanders participate organized religion/,,,/paypal revenue beats street view higher transactions customers/,,,/seahawks blazers owner paul allen mega-yacht allegedly causes mega-destruction coral reef/,,,/takata recalls air bag inflators 5.1 million u.s. vehicles/,,,/cleveland fires six police officers deadly <NUM> chase/,,,/deficiencies theranos pose immediate jeopardy patient health/,,,/dollar awaits fed outcome aussie firmer inflation data/,,,/donald trump always control/,,,/flint poor communities across country live extreme polluters"
2016-01-28,0.696476,0.7924061198879429,0.9647911657265098,PS,PS,"bernie sanders unloads washington post/,,,/chillest places united states/,,,/ground zero zika virus/,,,/clay tablets reveal babylonians discovered astronomical geometry 1,400 years europeans/,,,/could trade political beliefs exact opposite six people/,,,/global health body pressure stop zika virus/,,,/gop debate questions moderators nerve ask/,,,/sanders meets obama says president remain neutral primary race/,,,/affluenza teen flown back u.s. turned juvenile authorities/,,,/current version peyton manning among worst-ever super bowl starting qbs"
2016-01-29,0.701976,-0.789689809842713,-0.15080201849288244,NS,NS,"ny top prosecutor targets nfl antitrust probe source/,,,/bernie sandersâ€™s supporters ignore learned obama/,,,/fbi says video shows slain oregon occupier reach jacket pocket/,,,/desperately wanted kids happen okay/,,,/even immediate hurdles iowa n.h. clinton quietly looking ahead/,,,/fed patient u.s. policy given global risks kaplan/,,,/trump overshadows republican debate even sits/,,,/untold story bernie sanders high school track star/,,,/bernie sanders needs learn hillary clinton vice versa/,,,/oregon occupation end way"
2016-01-30,0.7020000000000001,-0.0034189203049663774,-0.15422609459866976,NS,NS,"cruz mailer inspired political scientists condemned iowa secretary state/,,,/iowan asks ted cruz happen repeals obamacare/,,,/race zika vaccine gathers momentum virus spreads/,,,/clinton kasich win new york times endorsement u.s. presidential race/,,,/germany merkel says refugees must return home war/,,,/iowa kicks <NUM> u.s. presidential race caucus tradition/,,,/sun coming marco rubio iowa/,,,/coca-cola takes stake nigerian juice maker chi/,,,/killing oregon wildlife refuge occupier re-energized protesters/,,,/america angry voters divvied trump sanders poll"
2016-01-31,0.702206,-0.02934472934472865,-0.20963642564900908,NS,NS,"2,100 pregnant colombian women infected zika virus/,,,/sanders citing email controversy questions clinton electability/,,,/smugglers keep trying get alcohol saudi arabia customs officials keep tweeting/,,,/fbi negotiates defiant oregon refuge holdouts/,,,/odds dismissal cosby sex assault case experts/,,,/three delusions driving cruz sanders campaigns/,,,/california sheriff concerned slow response jail escape/,,,/voting day away candidates sprinting across iowa/,,,/eyewash cia deceives workforce operations/,,,/last two california jail escapees caught san francisco tip"
2016-02-01,0.693213,1.280678319467512,1.2456603467163916,PS,PS,"power producer dominion buy questar natural gas push/,,,/dear trump supporters hear vote kareem abdul-jabbar/,,,/like walk shoes america slaves/,,,/struggling iowa town looking person different/,,,/u.s. vulnerable global slowdown volatility fed fischer/,,,/underestimate donald trump phenomenon democrats/,,,/warning warring democrats clinton-sanders race/,,,/iowa caucuses voting works/,,,/law enforcement bikers fought outlaw gang deadly denver melee/,,,/abbott labs buy diagnostics company alere 5.8 billion"
2016-02-02,0.693864,-0.09391052966405766,0.43935798061772857,NS,PS,"ted cruz outfoxed donald trump iowa/,,,/candidates craft n.h. end games iowa results tighten races/,,,/diversity washington post top ranks/,,,/iowa count clinton nudges past sanders photo-finish race/,,,/low-key trump ends social media silence/,,,/cut clinton slack/,,,/dallas reports case zika spread sex cdc urges condom use/,,,/exxon tops stock buybacks saving cash/,,,/iowa many self-proclaimed winners/,,,/oregon town tense amid dueling protests wildlife refuge takeover"
2016-02-03,0.685419,1.2170972986060775,2.367389845863272,PS,PS,"marco rubio becomes early hope mainstream u.s. republicans/,,,/q coen brothers respond criticism diversity talk hail caesar/,,,/scientists path usable zika vaccine strewn hurdles/,,,/chipotle says california probe widens national investigation/,,,/cruz campaign dirty tricks matter/,,,/dollar tumbles dudley comments u.s. data suggest dovish fed/,,,/indicted antiabortion activist turns texas authorities/,,,/ivy league students reading/,,,/super bowl security plan informed paris attacks u.s. official/,,,/cdc incredibly condescending warning young women"
2016-02-04,0.6858920000000001,-0.06900888361718671,1.5196503540681903,NS,PS,"dollar softening boosts equities commodities/,,,/kasich sells gop something different new hampshire/,,,/pharma bro shkreli stays silent congress calls lawmakers imbeciles tweet/,,,/abortion opponents secretly bought va. abortion clinic deceive women/,,,/chemchina syngenta swoop 12-year crush 12-month courtship/,,,/donald trump learned ronald reagan flip-flops/,,,/exclusive new u.s. bill drafted reform human trafficking rankings/,,,/exclusive top airlines offer re-assign crew zika-hit routes/,,,/muslim terrorist nypd spy years/,,,/obama visits mosque send pointed message non-muslims"
2016-02-05,0.689551,-0.5334659100849706,1.770003532884317,NS,PS,"americans likely become home-grown terrorists/,,,/ancient wildebeest cousin boasted bizarre dinosaur-like trait/,,,/five myths new hampshire primary/,,,/sorry hillary establishment/,,,/endanger visas afghans helped u.s. troops/,,,/goodell dangles expansion carrot london/,,,/morgan stanley new president cements role enforcer-in-chief/,,,/wikileaks assange arbitrarily detained embassy u.n. panel say/,,,/puppy bowl behind-the-scenes look stuff see tv/,,,/showdown europe privacy u.s. firms ducking cover"
2016-02-07,0.689762,-0.03059962207291278,1.7721295460306408,NS,PS,"john tishman developer shaped skyline american cities dies <NUM>/,,,/teams fit raring go super bowl <NUM>/,,,/trump calls waterboarding methods u.s. fight islamic state/,,,/beyond super bowl <NUM> next broncos panthers course peyton manning/,,,/chilean alleges sex abuse cover-up asks pope sack bishop/,,,/recalled cars create costly problem u.s. auto dealers/,,,/twitter users decry reported plan prioritize tweets/,,,/super bowl halftime show beyoncã© responds accusations plagiarism/,,,/cop killed college student 55-year-old mother sues extreme emotional trauma/,,,/rubio christie kasich get debate traction social media"
2016-02-08,0.692938,-0.46044867650002175,0.03967034663226343,NS,PS,"4,000-passenger cruise ship inexplicably sails atlantic mega-storm/,,,/exclusive zika virus discourages many americans latin america travel/,,,/fbi arrests nearly top officials crystal city tex/,,,/spike lee nba commissioner espn took stand gun violence/,,,/super bowl <NUM> party circuit shifts overdrive/,,,/chipotle shuts u.s. stores food safety meeting rivals pounce/,,,/scary news seafood us eating nearly enough/,,,/zika prompts urgent debate abortion latin america/,,,/security sun greet fans super bowl <NUM>/,,,/bernie sanders revolutionary"
2016-02-09,0.690966,0.28458534529785595,0.4176610978520472,PS,PS,"dollar slumps lowest versus yen since nov <NUM>/,,,/exclusive damascus vows recapture aleppo rebels/,,,/republican senator obama administration already funds zika/,,,/shkreli sued <NUM> million wu-tang clan album/,,,/u.s. intelligence chief warns homegrown security threat/,,,/woman accused bill clinton assault campaign hillary presidential run/,,,/twitter pandora options traders alert linkedin crash/,,,/u.s. dollar falls oil equities markets seek safety/,,,/obama seeks funds fight zika sees cause panic/,,,/tesla turn confront bears"
2016-02-10,0.6881689999999999,0.4047956049935948,-0.4012144396347139,PS,NS,"crash <NUM>/,,,/hillary clinton needs figure talk women/,,,/j.k. rowling announces eighth harry potter book/,,,/bmw volkswagen daimler recall vehicles u.s. takata air bags/,,,/presidential candidate kasich surprises google trends/,,,/gaping hole heart hillary clinton campaign/,,,/kennedy confidant spent decades calling release rfk killer/,,,/concerned cyber threat obama seeks big increase funding/,,,/espn casts shadow star wars success disney/,,,/new hampshire turned nightmare republican establishment"
2016-02-11,0.690543,-0.34497340042926794,-0.6780950936882135,NS,NS,"fewer u.s. troops afghanistan pressure grows air strikes/,,,/final oregon occupiers surrender authorities ending refuge siege/,,,/north korea satellite transmitting rocket payload concern u.s/,,,/sanders trump magic sells/,,,/google says u.s. guidance crucial development self-driving cars/,,,/liberal intolerance rise america college campuses/,,,/stop sending around photo bernie sanders/,,,/bernie sanders needs get serious foriegn policy/,,,/parents outraged students shown white guilt cartoon black history month/,,,/president obama vowed end pentagon slush fund. never stopped using"
2016-02-12,0.689458,0.15712272805603789,0.01348703721696154,PS,PS,"congress passes tougher north korea sanctions sends bill obama/,,,/elon musk vision faint heart/,,,/hulu absorbing 11/22/63 tells us harm dwelling past/,,,/blood south carolina/,,,/google says participate <NUM> u.s. airwaves auction/,,,/calling hillary clinton angry voice husky inherently sexist/,,,/talking marco rubio scripted candidate suddenly gets chatty/,,,/two 15-year-old students killed shooting phoenix area high school/,,,/wall street rallies p <NUM> snaps five-day losing streak/,,,/desperately seeking signs inflation"
2016-02-14,0.689483,-0.0036260366838689606,0.040448734491036475,NS,PS,"president obama <NUM> strategy options supreme court pick/,,,/cruz-rubio speak spanish thing/,,,/gop dangerously dogmatic supreme court obstructionism/,,,/post wins two polk awards series settlements industry police shootings/,,,/antonin scalia jurist colossal consequence/,,,/deadpool massive opening 135m redefined future r-rated superhero film/,,,/scalia passing starts court fight ages/,,,/supreme court nomination process sure epic debate/,,,/supreme court vacancy upends presidential race/,,,/kremlin obama called putin talk syrian cease-fire"
2016-02-15,0.692762,-0.47557372698095435,0.02539909775478577,NS,PS,"trump george w. bush-bashing backfire south carolina/,,,/poor violent enclave ´saint death´ pope slams mexico´s rich/,,,/nevada tightening race threatens clinton post-new hampshire firewall/,,,/obama nominate supreme court justice senate returns white house/,,,/pope courts indigenous mexicans catholic fervor fades/,,,/ugly political spectacle around justice scalia death/,,,/indian-american judge could replace scalia worked controversial cases business/,,,/meet man basically read president obama mind/,,,/conspiracy theories swirl around death antonin scalia/,,,/donald trump unloads ted cruz liar dishonest unstable"
2016-02-16,0.699142,-0.9209512069080148,-1.1832709568922581,NS,NS,"impending recession/,,,/marco rubio morning america ad opens canadian skyline/,,,/ralston nevada longer lock hillary clinton/,,,/russia gets cold ex-soviet neighbours catch pneumonia/,,,/controversial missouri professor berates police appalling new video/,,,/meet south carolina republicans horrified trump coronation/,,,/paula deen takedown went viral food scholar done yet/,,,/new jersey governor christie outlines <NUM> fiscal restraint budget/,,,/early get excited unprecedented new cancer treatment/,,,/seeking thwart constitution republicans playing fire"
2016-02-17,0.699782,-0.09154077426330787,-1.6875215245092505,NS,NS,"republicansâ€™ supreme court contortions/,,,/scientists agree whether salt killing us/,,,/man indicted <NUM> counts killings savopoulos family housekeeper/,,,/parenting advice teacher year children author/,,,/top u.s. hedge funds bet morgan stanley aig/,,,/ted cruz chickens coming home roost/,,,/cbs stephen colbert whiffs trump phone interview/,,,/town hall msnbc morning joe hosts let trump skate bigotry racism/,,,/parmesan cheese seems/,,,/s.c. ted cruz struggles winner conservatives hoped"
2016-02-18,0.6976060000000001,0.31095398281178177,-1.0228182748938224,PS,NS,"africa arms neanderthal/,,,/brent u.s. crude build eclipses output freeze plan/,,,/honey anything want okay/,,,/tech entrepreneur sparks outrage online blog homelessness/,,,/fight fill scalia seat could change american politics forever/,,,/four-hour flight turns 30-hour nightmare delta passengers/,,,/republican presidential race erupts four-way battle/,,,/downton abbey-on-the-rio grande look ralph lauren obviously/,,,/vivendi talks bein sports bids gameloft/,,,/endangered baby dolphin dies swimmers pass around selfies"
2016-02-19,0.694854,0.3944920198507589,-0.7826437578503658,PS,NS,"five myths placebos/,,,/friendliest pan kitchen proposition/,,,/witnesses shkreli case worried retaliation u.s. prosecutors/,,,/<NUM> years conservative rulings liberal supreme court would/,,,/buffett berkshire hathaway avoids p rating downgrade/,,,/donald trump utterly ridiculous budget plan/,,,/pope says trump christian sign global concern/,,,/yen gains vs euro dollar oil stocks falter anew/,,,/longer rules supreme court nomination process/,,,/big banks see need shrink – face path full obstacles"
2016-02-20,0.694179,0.09714270911585743,-0.6847407673853922,PS,NS,"jeb bush/,,,/republican white house hopefuls rubio bush battle south carolina/,,,/trump wins south carolina gop primary rubio cruz battle second/,,,/obama final year office shaping one genuine relevance/,,,/branson virgin galactic unveils new passenger spaceship/,,,/pressure grows hillary clinton release goldman sachs speeches/,,,/yahoo launches auction process starboard gears fight/,,,/funeral cements scalia legacy larger-than-life conservative force/,,,/planned parenthood witch hunt/,,,/dolores huerta says shouted english-only chants sanders crowd"
2016-02-21,0.699442,-0.7581617997663415,-1.4444155983541265,NS,NS,"clinton dynasty survives bush dynasty routed/,,,/donald trump relishes wrecking gop/,,,/texas private colleges saying guns campus/,,,/zero rates wrecked savings relax 17,000 footstool/,,,/sanders resources plan go distance matter/,,,/uber driver killed six kalamazoo shooting spree chose victims random authorities say/,,,/focus sharpens fed hot inflation data/,,,/illinois judge decide jurisdiction cruz eligibility complaint/,,,/republicans one last chance/,,,/unforced errors miscalculations end bush white house hopes"
2016-02-22,0.7065060000000001,-1.009947929921296,-1.9839425372639,NS,NS,"<NUM> ways senate republicans talking supreme court vacancy/,,,/cosby wife faces questioning suit alleged victims/,,,/many u.s. catholics unfazed pope clash trump/,,,/kalamazoo police uber driver alleged rampage baffling/,,,/rubio inherits establishment support narrow path stop trump/,,,/seas rising faster 2,800 years scientists say/,,,/trump word salads conceal ignorance/,,,/dancing 106-year-old describes day charmed obamas die smiling/,,,/nokia 5g pickup could begin early <NUM> chief executive/,,,/republican rubio scores endorsements president"
2016-02-23,0.713042,-0.9251159933531881,-1.9881511910312781,NS,NS,"migrants find doors slamming shut across europe/,,,/plastic snickers bar prompts mars recall <NUM> countries/,,,/says edge 5g due expanded internet access/,,,/tricky ted cruz turns fellow republicans/,,,/obama asks lawmakers lift obstacles closing prison guantanamo bay/,,,/republican candidate kasich kitchen comment draws scorn/,,,/shouts liar taking toll ted cruz campaign/,,,/cdc investigating <NUM> potential cases sexually transmitted zika/,,,/pentagon submit plan congress closing guantanamo prison/,,,/aidesâ€™ email-server testimony could throw clinton campaign curveball"
2016-02-24,0.717757,-0.6612513708870011,-2.5686570960670565,NS,NL,"cruz seeks dismissal case challenging u.s. presidential eligibility/,,,/investor says vw must emissions investigation/,,,/democrats troll gop floating republican supreme court/,,,/republican rubio seeks boost nevada trump dominates polls/,,,/u.s. new home sales tumble services sector weakens/,,,/bulls chalk one late-day surge wall st/,,,/thousands apps running baidu code collect leak personal data research/,,,/house republicans ready legal fight obama guantanamo plan/,,,/improved earnings strengthen bouygues hand orange talks/,,,/kalamazoo agonizing wait mass shooterâ€™s motive"
2016-02-25,0.716296,0.20355078390038273,-2.679162736559036,PS,NL,"former mexican president says pay donald trump f—— wall/,,,/islamic state militants kill <NUM> libya sabratha officials/,,,/hillary clinton superpredator remarks used words/,,,/beleaguered seaworld admits employees spied animal-rights activists/,,,/diplomatic war migrants escalates europe/,,,/obama weighs republican supreme court/,,,/scientists finally track source mysterious radio bursts/,,,/wonderfully weird world italy church supplies expo/,,,/imf report urges g20 prepare global economic stimulus plan/,,,/refresh tired living room choose modern upholstery"
2016-02-26,0.720891,-0.6414945776606231,-3.7471180996295743,NS,NL,"cool donald trump/,,,/d.c. tortured quest bring back streetcars boon affront others/,,,/donald trump captain underpants campaign/,,,/exclusive bailout would cut bombardier cseries jet stake taking books/,,,/russia syrian army pound rebels ahead fighting halt/,,,/trump backing christie opens access donors mainstream advisers/,,,/kansas gunman served restraining order shooting spree police say/,,,/trump christie laid foundation alliance years ago/,,,/chris christie despicable endorsement trump/,,,/fight night rubio cruz gang trump debate ploy"
2016-02-27,0.72082,0.009848923068801696,-3.837770949567769,PS,NL,"exclusive boeing plans layoffs airplane engineers/,,,/secret good toast freezer/,,,/dow settlement signals impact scalia death class actions/,,,/s.c. democrats head polls clinton sanders head state/,,,/buffett rails presidential candidates talk economy/,,,/trump rolls super tuesday rubio hopes hang/,,,/europe infantino chosen lead fifa new era/,,,/trump wins christie backing marches toward super tuesday/,,,/class teacher talks candidly difficult students/,,,/islamic state attacks kurdish-held town turkish border"
2016-02-28,0.721426,-0.08407091923088217,-3.1430769098795963,NS,NL,"republicans rubio cruz release taxes piling pressure trump/,,,/albatross trump endorsement/,,,/central banks near policy limits back focus g20/,,,/msnbc severs ties melissa harris-perry host critical email/,,,/sea levels rise economic damage piles even faster study/,,,/syria cease-fire frays russia resumes airstrikes/,,,/tulsi gabbard endorse bernie sanders/,,,/earnings season wraps investors turn data/,,,/four stabbed melee ku klux klan rally california/,,,/post-dieselgate volkswagen retools faster ride"
